Site ID,Location Description,Speed Limit,Reason Code(s),Latitude,Longitude,Geo Location,Location Assessment
4027,WB 43 Ave W of 111 - 114 St,30,Designated Zone - Playground;,53.47868681,-113.52102640,"(53.47868681029068, -113.52102639922981)",https://drive.google.com/file/d/1nlJnOgLbNF4Vd3nhkp-YKRnyYlAXo_mw/view?usp=drivesdk
2766,SB Fort Rd between 131 - 128 Ave,50,Higher Frequency of Speeding;,53.58825963,-113.43632889,"(53.588259628440895, -113.43632888503222)",https://drive.google.com/file/d/1VTpLQb03caXojOXWVwuEkq5c0xECMQsF/view?usp=drivesdk
7005,EB Yellowhead Trail @ Anthony Henday Dr,100,Higher Frequency of Speeding; Higher Frequency of Collisions;,53.57357317,-113.66018743,"(53.57357316567779, -113.66018742523505)",https://drive.google.com/file/d/1Pg2tqF2L49CM-LZU04pS_TIxzxfZjLWY/view?usp=drivesdk
4194,NB 79 St Btwn 94 - 95 Ave,30,Designated Zone - Playground;,53.53195597,-113.44808665,"(53.53195597179193, -113.4480866455394)",https://drive.google.com/file/d/1xn0-oghI467dBsW71h6_hW61OTF6qF3h/view?usp=drivesdk
4213,SB 175 St Btwn 85 - 82 Ave,30,Designated Zone - Playground;,53.51692157,-113.62364254,"(53.51692157132071, -113.62364253516057)",https://drive.google.com/file/d/1WVfVOJGm4GQPZ29DY-CyWAHE7bb2cjo4/view?usp=drivesdk
4034,SB 115 St btwn 48 - 46 Ave,30,Designated Zone - Playground;,53.48478059,-113.52881315,"(53.484780586037935, -113.52881315404674)",https://drive.google.com/file/d/1ek-u3WI0QhIvivLGlKl13SZggV_gn5NH/view?usp=drivesdk
7130,EB Anthony Henday Dr  at 34 St,100,Higher Frequency of Speeding; Higher Frequency of Collisions;,53.43537957,-113.39259397,"(53.435379567872374, -113.39259396928328)",https://drive.google.com/file/d/1rm-DJf-OVE2YS9LtJi0iOuWMqt_ozUGW/view?usp=drivesdk
4081,WB 105 Ave btwn 136 - 139 St,30,Designated Zone - Playground;,53.54777224,-113.55885021,"(53.54777223725524, -113.55885020906969)",https://drive.google.com/file/d/1FE3DuqPVVLeHDu_UJFK2gxfQ2UNF92JZ/view?usp=drivesdk
4300,SB Edwards Dr btwn 83 St SW - 6 Ave SW,30,Designated Zone - Playground;,53.42837161,-113.45901487,"(53.4283716105819, -113.45901487177173)",https://drive.google.com/file/d/1BAF_sPQNZsOJ-pMk4P0OrFZqNcBMf3Kk/view?usp=drivesdk
4117,SB 76 St south of 40 - 38 Ave,30,Designated Zone - Playground;,53.47490073,-113.45032620,"(53.474900731544125, -113.45032619523234)",https://drive.google.com/file/d/1E_lkjtwaBF0y7QisjYwYY6h_c1LVhbma/view?usp=drivesdk
4038,SB Woodvale Rd E south of 35 Ave - Hillview Cres,30,Designated Zone - Playground;,53.46798937,-113.42545040,"(53.4679893737554, -113.42545040037963)",https://drive.google.com/file/d/1bfqY-4kNudhDVJDZBaAVNHaqTyeMa7Nl/view?usp=drivesdk
4226,EB Kirkness Rd Btwn 31 St - 151 Ave,30,Designated Zone - Playground;,53.61136661,-113.38477337,"(53.6113666107883, -113.3847733718016)",https://drive.google.com/file/d/1mKNVEZtcDwUvVuFBJ0-n6pCw7M23_Wxt/view?usp=drivesdk
4088,EB 37A Ave E of 28 - 23 St,30,Designated Zone - Playground;,53.47252750,-113.37907126,"(53.47252749947279, -113.37907125590547)",https://drive.google.com/file/d/1a0Wlq6ePsAMlZJVRPBK5uQ92AxNNzucB/view?usp=drivesdk
2719,WB 107 Ave between 110 - 113 St,50,Higher Frequency of Speeding; Higher Frequency of Collisions;,53.55140855,-113.51302475,"(53.55140855277801, -113.51302475123666)",https://drive.google.com/file/d/1lswHSpoTcHfvjMl5QPpa_Go5ixABGgwl/view?usp=drivesdk
4134,SB 142 St Btwn 85 - N of 80 Ave,30,Designated Zone - Playground;,53.51636706,-113.56569690,"(53.516367062405294, -113.56569689529613)",https://drive.google.com/file/d/1P8VcY1BGKOSerj8Fgcld95OPYGJehgWq/view?usp=drivesdk
2590,NB 170 St between 114 - 117 Ave,60,Higher Frequency of Collisions;,53.56523069,-113.61518500,"(53.56523069451859, -113.61518499940277)",https://drive.google.com/file/d/1iQS-2vqQ0DyjUxJ1jcFM2S1El9HtSPoV/view?usp=drivesdk
2718,NB 97 St between 115 -117 Ave,50,Higher Frequency of Collisions;,53.56731151,-113.49170405,"(53.567311508975315, -113.49170404943904)",https://drive.google.com/file/d/1JZ2Jd1sG6h5rxuM3-teheWKDyMmLXcya/view?usp=drivesdk
2509,WB 118 Ave between 85 - 87 St,50,Higher Frequency of Collisions;,53.57038891,-113.47282618,"(53.570388913927154, -113.47282617535724)",https://drive.google.com/file/d/1AI_La45764NsJu6RyjU4A32--SFXcNpl/view?usp=drivesdk
7017,SB Anthony Henday Dr. @ Yellowhead Tr.,100,Higher Frequency of Speeding; Higher Frequency of Collisions;,53.57298521,-113.66198874,"(53.57298521390099, -113.66198873614366)",https://drive.google.com/file/d/1uERivKqnPnQ2Fh8bOxRXvRtxrW70a6bt/view?usp=drivesdk
4174,WB 144 Ave Btwn 74-76 St,30,Designated Zone - Playground;,53.60697898,-113.45643132,"(53.6069789774502, -113.45643131875264)",https://drive.google.com/file/d/1kyH7dbgyZc_S0vkuzOzDPbXrajzsR3X5/view?usp=drivesdk
2716,NB 97 St between 108 - 110 Ave,50,Higher Frequency of Speeding; Higher Frequency of Collisions;,53.55546299,-113.49091409,"(53.55546298891228, -113.49091409444974)",https://drive.google.com/file/d/13UR90y6iSIsl2gHiBhIum6jEGUxeL6on/view?usp=drivesdk
4111,NB 96 St btwn 66 Ave - N of 68 Ave,30,Designated Zone - Playground;,53.50406951,-113.47644314,"(53.5040695083065, -113.47644313586308)",https://drive.google.com/file/d/1BDBaYWxejIA7aSQABp9dNZI2a1-K5hNl/view?usp=drivesdk
2589,EB 51 Ave between 114 - 112 St,50,Higher Frequency of Speeding;,53.48819509,-113.52190308,"(53.48819508772696, -113.5219030822538)",https://drive.google.com/file/d/1QKVGL81U00y6xudqmdKFlpxcYzr8UvZU/view?usp=drivesdk
212,WB Anthony Henday Dr. west of 34 St.,100,Higher Frequency of Collisions;,53.43573849,-113.40155591,"(53.435738492314066, -113.40155591272213)",https://drive.google.com/file/d/1XtSC7XQEPyi-gAqBHsgWJe4SS15_KalU/view?usp=drivesdk
4115,NB 76 St btwn 38 Ave south of 40 Ave,30,Designated Zone - Playground;,53.47490073,-113.45032620,"(53.474900731544125, -113.45032619523234)",https://drive.google.com/file/d/1eelSIjIxPkrVce5_WM5zt-cF05-vjiss/view?usp=drivesdk
2739,NB 66 St between 132 - 134 Ave.,50,Higher Frequency of Speeding; Higher Frequency of Collisions;,53.59386213,-113.44285788,"(53.593862133691495, -113.44285787659248)",https://drive.google.com/file/d/1A8ddXYo_ltRQAUxPPfkKY_jY38jZUF1U/view?usp=drivesdk
4143,SB 182 St Btwn 93 - N of 89 Ave,30,Designated Zone - Playground;,53.52631135,-113.63921917,"(53.526311351240295, -113.63921917173597)",https://drive.google.com/file/d/1RuhGP7qFLbtyi0keELXKbhgrpy7krEkd/view?usp=drivesdk
4080,SB 145 St btwn 89A - 88 Ave,30,Designated Zone - Playground;,53.52125471,-113.57027852,"(53.521254708016684, -113.57027852073288)",https://drive.google.com/file/d/1pYcF4vg3XsWbvOAHePeEszW_NG6dlmYE/view?usp=drivesdk
4311,EB 132 Ave btwn 74 - 76 St,30,Designated Zone - Playground;,53.59224177,-113.45669214,"(53.59224177324022, -113.45669213611916)",https://drive.google.com/file/d/1jSz_70_N74VzRckoYwEjBRTM4lyf0fvF/view?usp=drivesdk
4297,WB Silver Berry Rd btwn 24 - 32 St,30,Designated Zone - Playground;,53.45708125,-113.38191265,"(53.4570812520896, -113.38191264829193)",https://drive.google.com/file/d/1wiI23w2F4_kaac7PIuzcyNYuuxacqA_K/view?usp=drivesdk
4119,SB 106 St btwn 42 - 40 Ave,30,Designated Zone - Playground;,53.47654717,-113.50444638,"(53.47654716790398, -113.50444637527531)",https://drive.google.com/file/d/1IlRppgVaoxiAmdoYcPM4AT-t0nF-KXQH/view?usp=drivesdk
2518,SB 109 St between 110 - 108 Ave,50,Higher Frequency of Collisions;,53.55486531,-113.50852235,"(53.55486530629586, -113.50852235054917)",https://drive.google.com/file/d/1fHflD9V6m3JFY64cPFP7bliNzynsf-5D/view?usp=drivesdk
2722,SB 101 St between 108 - 107A Ave,50,Higher Frequency of Speeding; Higher Frequency of Collisions;,53.55228268,-113.49371677,"(53.55228268396267, -113.49371676568481)",https://drive.google.com/file/d/1u6KuqU5Bc6w6KO7fJ6BhyBB-8SmL26qR/view?usp=drivesdk
4231,WB 144 Ave Btwn 57 - 62 St,30,Designated Zone - Playground;,53.60568142,-113.43325094,"(53.605681424818755, -113.43325093972578)",https://drive.google.com/file/d/1ZJI_FoobvdVEM5crGWlUMYbB0VHcCwn6/view?usp=drivesdk
4033,NB 115 St btwn 46 - 48 Ave,30,Designated Zone - Playground;,53.48478059,-113.52881315,"(53.484780586037935, -113.52881315404674)",https://drive.google.com/file/d/1cG5MZm5zbSfr3cqRFavfUCOS3SYSwzHF/view?usp=drivesdk
4084,SB 165 St btwn N of 97 - 95 Ave,30,Designated Zone - Playground;,53.53374528,-113.60599206,"(53.53374528041923, -113.60599206381826)",https://drive.google.com/file/d/1NDZ_axK565ol2UhRwM053mg0ApGjWqn3/view?usp=drivesdk
4299,NB Edwards Dr btwn 6 - 5 Ave SW,30,Designated Zone - Playground;,53.42837161,-113.45901487,"(53.4283716105819, -113.45901487177173)",https://drive.google.com/file/d/13WXGTTXRC-LS4j730e4XKHw_E1sMeG67/view?usp=drivesdk
4036,SB 143 St btwn 56 - 53 Ave,30,Designated Zone - Playground;,53.49205828,-113.56726206,"(53.49205828317424, -113.56726206422907)",https://drive.google.com/file/d/1XIytd0EA5h0ckLqZyUrn6GRXJFNHljv8/view?usp=drivesdk
4263,WB Lakewood Rd N Btwn 80 St - 31 Ave,30,Designated Zone - Playground;,53.46344578,-113.45795304,"(53.4634457827599, -113.45795303688928)",https://drive.google.com/file/d/1P-l4s4kCiwm_Kf2c3-bkz4w-D0xDlatQ/view?usp=drivesdk
247,WB Yellowhead Trail at 50 St,80,Higher Frequency of Speeding;,53.58249321,-113.41882007,"(53.582493213668364, -113.41882006876673)",https://drive.google.com/file/d/1eJIjWzSCDh6X-iuHsn222ETH-HtOQxVJ/view?usp=drivesdk
4169,SB 135 St Btwn Woodcroft Ave - 116 Ave,30,Designated Zone - Playground;,53.56747910,-113.55514240,"(53.56747909937096, -113.55514240398143)",https://drive.google.com/file/d/1fbvlxkYxrz0JSsY-1ibLq9leAz6h8fOU/view?usp=drivesdk
4018,EB 132 Ave btwn 137 - 135 St,30,Designated Zone - Playground;,53.59262311,-113.55497982,"(53.5926231070909, -113.55497981528856)",https://drive.google.com/file/d/18GdsgOEPq0MwWiHlvm0gpvWq43SQ_YAl/view?usp=drivesdk
4214,EB 76 Ave Btwn 156 - 154 St,30,Designated Zone - Playground;,53.50789036,-113.58788156,"(53.50789036430484, -113.58788156205767)",https://drive.google.com/file/d/19S9pP6yk4LDv_3m-NcuGlr_bruPuLCjr/view?usp=drivesdk
2543,EB 82 Ave between 89 - 87 St,50,Higher Frequency of Speeding;,53.51802663,-113.46439597,"(53.51802662570551, -113.4643959671959)",https://drive.google.com/file/d/1WhRwVhxUfeJsOGPdN9tLLZTODUnb8zRZ/view?usp=drivesdk
4246,EB 51 Ave Btwn 124 - 123 St,30,Designated Zone - Playground;,53.48814710,-113.54492540,"(53.48814709899406, -113.54492539721905)",https://drive.google.com/file/d/1cjD8qBOobhFQ_H6OaItdWbDjtsQ1nGb3/view?usp=drivesdk
4147,EB 132 Ave Btwn 113A - E of 109 St,30,Designated Zone - Playground;,53.59212146,-113.51206262,"(53.59212146058658, -113.5120626181909)",https://drive.google.com/file/d/1VbDScb3mYQ_w3BPA4_7pxSYMhddoTt2Y/view?usp=drivesdk
2468,WB 132 Ave between 119 - 121 St,50,Higher Frequency of Collisions;,53.59215843,-113.52860163,"(53.592158428579005, -113.52860163175355)",https://drive.google.com/file/d/1v2A1c6nDz-Y4JDGGS5m-yxW9buuF6HfR/view?usp=drivesdk
4108,SB 62 St btwn 106 Ave - Fulton Rd,30,Designated Zone - Playground;,53.54741556,-113.42793646,"(53.547415560540855, -113.4279364604964)",https://drive.google.com/file/d/1LD7UwIKrrWyJBw_k_iv8TrFJ2pzVmk2G/view?usp=drivesdk
2507,WB 118 Ave between 60 - 62 St,50,Area of Public Concern;,53.57036818,-113.43491676,"(53.57036818470731, -113.43491675747863)",https://drive.google.com/file/d/1_sRUsCDDw540cQeuvAntuHPBBI2ncCdw/view?usp=drivesdk
4218,NB 91 St N of 172 - 175 Ave,30,Designated Zone - Playground;,53.63539032,-113.47968113,"(53.63539032361693, -113.47968112520016)",https://drive.google.com/file/d/1Keg9hmBrj1cTI7otdq7ERRtfJYl5iQy7/view?usp=drivesdk
2721,NB 101 St between 107A - 108 Ave,50,Higher Frequency of Speeding; Higher Frequency of Collisions;,53.55228268,-113.49371677,"(53.55228268396267, -113.49371676568481)",https://drive.google.com/file/d/1_g50CSkWb1GiF84pGdlNMjZx62l4kcti/view?usp=drivesdk
4129,NB 180 St Btwn Willow CT - S of 73 Ave,30,Designated Zone - Playground;,53.50582651,-113.63384742,"(53.5058265112768, -113.63384741783896)",https://drive.google.com/file/d/11W1drYPRcf8UzNZZHaDcwEmQgf-rpc50/view?usp=drivesdk
4250,EB 164 Ave Btwn 87-84 St,30,Designated Zone - Playground;,53.62616164,-113.47498687,"(53.62616164122239, -113.47498686771488)",https://drive.google.com/file/d/15g0_hDwNMhq2DZK755mw6CcizLAIp7aa/view?usp=drivesdk
4188,NB 91 St Btwn 86 Ave - S of 88 Ave,30,Designated Zone - Playground;,53.52255780,-113.46744056,"(53.52255780035001, -113.46744056382475)",https://drive.google.com/file/d/1TsiKOxyALPX4LqaVEqRZwUE6zKPpZzHf/view?usp=drivesdk
2469,EB 132 Ave between 123 - 121 St,50,Higher Frequency of Collisions;,53.59216642,-113.53195635,"(53.59216641861841, -113.53195634968591)",https://drive.google.com/file/d/14UgLm-RuTbRPJp2pixvuWG2zQ36RTzX7/view?usp=drivesdk
4235,WB 110 Ave Btwn 159-161 St,30,Designated Zone - Playground;,53.55604253,-113.59660720,"(53.55604252674655, -113.59660720214636)",https://drive.google.com/file/d/15wLbXFl15vMNiT0EsQRUPFRgNtVCmMKe/view?usp=drivesdk
7063,NB Groat Rd btwn Victoria Pk Rd-S of 107 Ave,50,Higher Frequency of Speeding;,53.54528298,-113.54246556,"(53.54528298265759, -113.54246556256959)",https://drive.google.com/file/d/1948cA-Ko-kBGeKLTcw0nxh6HCEuH_wrR/view?usp=drivesdk
4234,EB 110 Ave Btwn 161 - 159 St,30,Designated Zone - Playground;,53.55604253,-113.59660720,"(53.55604252674655, -113.59660720214636)",https://drive.google.com/file/d/1c6q0W7fpuAtEmviySk3Ct6t-QbySB4h7/view?usp=drivesdk
4082,EB 105 Ave btwn 139 - 136 St,30,Designated Zone - Playground;,53.54777224,-113.55885021,"(53.54777223725524, -113.55885020906969)",https://drive.google.com/file/d/1DyerkEX15-uV3diXEV24C6EE9ddF57t-/view?usp=drivesdk
2528,EB 51 Ave between 122 - 116 St,50,Higher Frequency of Speeding; Higher Frequency of Collisions;,53.48823317,-113.53622219,"(53.48823316847402, -113.53622219086162)",https://drive.google.com/file/d/1hndJL81iForafz_HNTTHSsgTKHmHYIxc/view?usp=drivesdk
4192,WB 40 Ave Btwn 115 A - 119 St,30,Designated Zone - Playground;,53.47639220,-113.53521476,"(53.476392198869945, -113.53521476035824)",https://drive.google.com/file/d/18bUtuCAxaY4reXxxhQN63N-80NaoNRFy/view?usp=drivesdk
2519,NB 109 St between 108 - 110 Ave,50,Higher Frequency of Collisions;,53.55486251,-113.50835037,"(53.55486251095871, -113.50835036735225)",https://drive.google.com/file/d/1gOlN_5Hh1Ju8FAhQtn6vYlgU2QQJAqAZ/view?usp=drivesdk
2452,EB 144 Avenue between 79 - 77 Street,50,Higher Frequency of Speeding;,53.60685526,-113.46181386,"(53.60685525575723, -113.46181385522107)",https://drive.google.com/file/d/1T4qH3zXIotx3GHrlG4oGL2ccPbaldeOl/view?usp=drivesdk
7082,WB Anthony Henday Dr at 97 St,100,Higher Frequency of Speeding; Higher Frequency of Collisions;,53.64716486,-113.48933364,"(53.64716486358316, -113.48933364484387)",https://drive.google.com/file/d/1G6ubZN27TYaJ30giyEUflI7Cvfy8NtfZ/view?usp=drivesdk
2504,EB 82 Ave between 98 - 97 St,50,Higher Frequency of Speeding; Higher Frequency of Collisions;,53.51798620,-113.48126114,"(53.517986201885456, -113.48126113559385)",https://drive.google.com/file/d/18jsoU1Bb4fUX0XDCFfrlsnnlFHgh4aAy/view?usp=drivesdk
7115,NB 170 St between 114 - 117 Ave,60,Higher Frequency of Collisions;,53.56523069,-113.61518500,"(53.56523069451859, -113.61518499940277)",https://drive.google.com/file/d/183qmAnppfHFd0bqjNf9hRcnqMDbbi9Ol/view?usp=drivesdk
4030,SB Riverbend Rd btwn 56 - 53  Ave,30,Designated Zone - Playground;,53.49209992,-113.57825354,"(53.49209991757685, -113.57825353663972)",https://drive.google.com/file/d/1gdZLnWjw1C3y-PB9hht26ieZrZZSlJg1/view?usp=drivesdk
4013,WB 132 Ave btwn 86 - 88 St,30,Designated Zone - Playground;,53.59217056,-113.47441624,"(53.592170557531134, -113.47441623584442)",https://drive.google.com/file/d/1uwF3bgR4jZb3gaiIccwHDQELuWoTbxCC/view?usp=drivesdk
2473,EB 132 Ave between Delwood Rd - 79 St,50,Higher Frequency of Speeding;,53.59223322,-113.46280031,"(53.59223321782987, -113.46280030626639)",https://drive.google.com/file/d/1-fD1kHBZr9xqdU90zsLO6-WVQ_iIYwR1/view?usp=drivesdk
2482,NB 66 St between 144 - 149 Ave,60,Higher Frequency of Collisions;,53.60753274,-113.44273552,"(53.60753274326132, -113.44273551682349)",https://drive.google.com/file/d/1hbPV5hoESshXBZfVTLUsyALA0hBgNGzO/view?usp=drivesdk
7166,SB 91 St between 23 Ave - Anthony Henday Dr,70,Higher Frequency of Speeding; Higher Frequency of Collisions;,53.44594757,-113.46681048,"(53.44594757202398, -113.46681047604511)",https://drive.google.com/file/d/1QJuiRL77i8unaZcZQXx18nkJVPMENbes/view?usp=drivesdk
2670,EB 118 Ave between 78 St - Wayne Gretzky Dr,50,Higher Frequency of Speeding; Higher Frequency of Collisions;,53.57030734,-113.45724250,"(53.57030733521943, -113.45724250213854)",https://drive.google.com/file/d/1ZcVNUasLfoUWZ4o6jAWCcZTfs0uXwwXE/view?usp=drivesdk
7216,NB Gateway Blvd at Ellerslie Road SW,90,Higher Frequency of Speeding; Higher Frequency of Collisions;,53.42288224,-113.49284070,"(53.4228822361979, -113.49284070180757)",https://drive.google.com/file/d/1GT-E-RaQ4tkRNV8YSKfHwSTpUqJ2EXoe/view?usp=drivesdk
4118,SB 96 St N of 68 - 66 Ave,30,Designated Zone - Playground;,53.50388979,-113.47644333,"(53.50388978832921, -113.47644332823747)",https://drive.google.com/file/d/1DLDgFSRWbS-bds8eIEhTvBgehQ9MRraU/view?usp=drivesdk
7044,EB Yellowhead Tr at 215 St,100,Higher Frequency of Speeding; Higher Frequency of Collisions;,53.57004750,-113.68955622,"(53.57004750064899, -113.6895562233551)",https://drive.google.com/file/d/1_K7N29ShNJKU19JBQlKf7cburWxMylA9/view?usp=drivesdk
4161,WB 149 A Ave Btwn 76-79 St,30,Designated Zone - Playground;,53.61067880,-113.46150904,"(53.61067880476724, -113.4615090373908)",https://drive.google.com/file/d/1obMA7iUzYImlOp9m-mtDXf9aG3v1eegK/view?usp=drivesdk
2769,EB 40 Ave between 111 - 107 St,50,Higher Frequency of Speeding;,53.47573238,-113.51295346,"(53.47573237816367, -113.5129534623275)",https://drive.google.com/file/d/1AV3FB1EyezOMqU4abuHn6uBRtA2myOSq/view?usp=drivesdk
2679,WB Hermitage Rd between Homestead Cr - Henry Ave,50,Higher Frequency of Speeding;,53.58444400,-113.40252025,"(53.58444400174336, -113.4025202450969)",https://drive.google.com/file/d/1KOcjMcKAVDVLjFwpBRwxOmaQnZpabmjn/view?usp=drivesdk
2704,EB 101 Ave between 70 - 67 St,50,Higher Frequency of Speeding;,53.54119252,-113.43382707,"(53.54119251531244, -113.4338270650679)",https://drive.google.com/file/d/1fuqsAuHN7CgQLAOpD1gKo2HJNQRg5JQz/view?usp=drivesdk
4103,WB 93A Ave btwn 58 St - 67A St,30,Designated Zone - Playground;,53.53043800,-113.42743264,"(53.53043799957146, -113.42743263903067)",https://drive.google.com/file/d/11BGHRQQJaDQR84UVVfGssniUDVrx9OJ-/view?usp=drivesdk
4116,SB 76 St btwn south of 40 Ave - 38 Ave,30,Designated Zone - Playground;,53.47490073,-113.45032620,"(53.474900731544125, -113.45032619523234)",https://drive.google.com/file/d/1mKp8gaWJLpwalQ8gznWsTcvx0RRLTTOz/view?usp=drivesdk
2729,EB Princess Elizabeth Ave between 106 - 102 St,50,Higher Frequency of Speeding;,53.56806178,-113.49916298,"(53.56806178232219, -113.49916297999883)",https://drive.google.com/file/d/1zh-GHhO4zZoAnDoFg0vGKts3jIBEe5Mu/view?usp=drivesdk
4179,WB 64 Ave Btwn 172-177 St,30,Designated Zone - Playground;,53.50026948,-113.62386995,"(53.50026948412953, -113.62386994515339)",https://drive.google.com/file/d/12KL7n7sOmbleRN7x1zYr8ONsMYS2e-cn/view?usp=drivesdk
4139,WB McConachie Dr Btwn 58 St - McConachie Way,30,Designated Zone - Playground;,53.63192000,-113.42392007,"(53.63192000197325, -113.42392007326865)",https://drive.google.com/file/d/1A8PXZ1OOfVcBH54jptK8UCcTerYoahVD/view?usp=drivesdk
4004,WB 53 Ave btwn Whitemud Dr - Riverbend Rd,30,Designated Zone - Playground;,53.49043636,-113.57552164,"(53.49043635895759, -113.57552163923538)",https://drive.google.com/file/d/1u64JAfmgrC0O3b6uummNrAKGnkbNGMqI/view?usp=drivesdk
2632,EB 106 Ave between Fulton Dr - 65 St,50,Higher Frequency of Speeding; Higher Frequency of Collisions;,53.54925764,-113.43199190,"(53.54925764156508, -113.43199190380798)",https://drive.google.com/file/d/1oZ0GUmS0ItVI_TLe_0Au8GlkOsUK6D27/view?usp=drivesdk
4233,EB 162 Ave 375 M W of 115 - 115 St,30,Designated Zone - Playground;,53.62281681,-113.52620058,"(53.62281680878117, -113.52620058313609)",https://drive.google.com/file/d/1VJ_Lh_-YqeyPoNH1srC9Wo11eruJ3tuj/view?usp=drivesdk
2731,WB Kingsway Ave btwn Princess Eliz Ave-Airport Rd,60,Higher Frequency of Collisions;,53.56408238,-113.51588890,"(53.56408237835445, -113.51588889741781)",https://drive.google.com/file/d/11bTqxUd5QdHffrzaC3VJYzK6YElRR-fp/view?usp=drivesdk
